Land Use Code,Descr,Direct Chrg Class,Dwelling Type,Use Category,BOECategory,Is Apply Inflation,Status,DTS
00,UNASSIGNED,,1.0,,1,A,2015-05-07,vpoli
05,MANUFACTURED HOMES,A,4.0,MHR,1,A,2015-05-07,vpoli
05E,MANUFACTURED HOMES,,4.0,MHR,0,A,2015-05-07,vpoli
10,VACANT LOT RESIDENTIAL,,4.0,VLR,1,A,2015-05-07,vpoli
1001,VACANT LOT W/MISC IMP,,4.0,VLR,1,A,2015-05-07,vpoli
1010,VACANT LAND-DIRECT ENTRY PROG,,4.0,VLR,1,A,2015-05-07,vpoli
11,SINGLE FAMILY RESIDENTIAL,A,4.0,SFR,1,A,2021-07-08,jtydingco
111,SFR-DIRECT ENTRY SALES PROG,A,4.0,SFR,1,A,2016-11-28,jtydingco
111E,SFR-DIRECT ENTRY SALES PROG,,4.0,SFR,1,A,2016-11-28,jtydingco
12,CONDOMINIUMS - TOWNHOUSES,A,4.0,CDR,1,A,2018-07-26,jtydingco
12E,CONDOMINIUMS-TOWNHOUSES,,4.0,CDR,1,A,2018-07-26,jtydingco
13,TIMESHARES,,4.0,TSR,1,A,2015-05-07,vpoli
20,VACANT LAND MULTIPLE,,4.0,VLR,1,A,2015-05-07,vpoli
2001,VACANT MULT W/MISC IMP,,4.0,VLR,1,A,2015-05-07,vpoli
21,MULTIPLE RESIDENTIAL MISC,B,4.0,MF2R,1,A,2015-05-07,vpoli
212,TWO DWELLING UNITS,B,4.0,MF2R,1,A,2016-10-31,vpoli
2122,DUPLEX,,4.0,MF2R,1,A,2015-05-07,vpoli
212E,TWO DWELLING UNITS,,4.0,MF2R,0,A,2020-04-09,jtydingco
213,THREE DWELLING UNITS,B,4.0,MF2R,1,A,2015-05-07,vpoli
2133,TRIPLEX,,4.0,MF2R,1,A,2015-05-07,vpoli
214,FOUR DWELLING UNITS,B,4.0,MF2R,1,A,2015-05-07,vpoli
2144,FOUR-PLEX,,4.0,MF2R,1,A,2015-05-07,vpoli
215,5 TO 9 APARTMENT UNITS,C,2.0,MF5R,1,A,2021-08-12,Megabyte
216,10 TO 19 APARTMENT UNITS,C,2.0,MF5R,1,A,2021-08-12,Megabyte
217,20 TO 49 APARTMENT UNITS,C,2.0,MF5R,1,A,2021-08-12,Megabyte
218,50 OR MORE APARTMENT UNITS,C,2.0,MF5R,1,A,2021-08-12,Megabyte
23,MANUFACTURED HOME PARKS,D,2.0,OSM,1,A,2021-08-12,Megabyte
30,VACANT LAND RURAL,,1.0,VRA,1,A,2015-05-07,vpoli
3001,VACANT RURAL W/MISC IMPS,,1.0,VRA,1,A,2015-05-07,vpoli
31,RURAL RES < 5 AC W/1 RES,A,1.0,SFR,1,A,2021-07-08,jtydingco
3101,RURAL RES < 5 AC W/1 RES W/WINERY,,1.0,SFR,1,A,2015-05-15,vpoli
312,RURAL RES < 5 AC W/2 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3121,RURAL RES < 5 AC W/2 SFRS W/WINERY,,1.0,MF2R,1,A,2015-05-15,vpoli
313,RURAL RES < 5 AC W/3 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3131,RURAL RES < 5 AC W/3 SFRS W/WINERY,,1.0,MF2R,1,A,2015-05-15,vpoli
314,RURAL RES < 5 AC W/4 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3141,RURAL RES < 5 AC W/4 SFRS W/WINERY,,1.0,MF2R,1,A,2015-05-15,vpoli
315,RURAL RES < 5 AC W/5 MORE SFRS,C,1.0,MF5R,1,A,2015-05-15,vpoli
3151,RURAL RES < 5 AC W/5 + SFRS W/WINERY,,1.0,MF5R,1,A,2015-05-15,vpoli
32,RURAL RES > 5 AC W/1 RES,A,1.0,SFR,1,A,2015-05-15,vpoli
3201,RURAL RES > 5 AC W/1 RES W/WINERY,,1.0,SFR,1,A,2015-05-15,vpoli
322,RURAL RES > 5 AC W/2 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3221,RURAL RES > 5 AC W/2 SFRS W/WINERY,,1.0,MF2R,1,A,2015-05-15,vpoli
323,RURAL RES > 5 AC W/3 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3231,RURAL RES > 5 AC W/3 SFRS W/WINERY,,1.0,MF2R,1,A,2015-05-15,vpoli
324,RURAL RES > 5 AC W/4 SFRS,B,1.0,MF2R,1,A,2015-05-15,vpoli
3241,RURAL RES > 5 AC W/4 SFRS W/WINERY,,1.0,MF2R,1,A,2015-05-15,vpoli
325,RURAL RES > 5 AC W/5 MORE SFRS,C,1.0,MF5R,1,A,2015-05-15,vpoli
3251,RURAL RES > 5 AC W/5 + SFRS W/WINERY,,1.0,MF5R,1,A,2015-05-15,vpoli
33,CONTRACTS LAND-NON-VINEYARD,,1.0,RRA,1,A,2015-05-15,vpoli
3301,CONTRACT NON-VNYD W/MISC IMPS,,1.0,RRA,1,A,2015-05-15,vpoli
34,VINEYARD LAND >5 AC,,1.0,ARA,1,A,2015-05-15,vpoli
