,ASMT,ASMTWithDa,Acres,LandUse1,TRA,floor,Notes,Shape_STAr,Shape_STLe,geometry
0,001012011000,001-012-011-000,0.19,514,002000,0,WAS PTN 001012002,8489.9199,614.446995856,"POLYGON Z ((6476205.349999994 1877347.3299999982 0, 6476209.530000001 1877327.7699999958 0, 6476189.909999996 1877335.0799999982 0, 6476213.379999995 1877233.7300000042 0, 6476218.25 1877234.8599999994 0, 6476238.439999998 1877147.6299999952 0, 6476236.769999996 1877105.5600000024 0, 6476211.459999993 1877100.150000006 0, 6476157.170000002 1877337.0400000066 0, 6476187.939999998 1877343.6099999994 0, 6476185.400000006 1877354.5600000024 0, 6476205.349999994 1877347.3299999982 0))"
1,001021002000,001-021-002-000,0.31,51,002014,0,0010210200 CONVERTED    12/01/87,13491.24435,464.511239678,"POLYGON Z ((6473988.760000005 1876261.4200000018 0, 6473880.920000002 1876235.5 0, 6473853.159999996 1876347.4399999976 0, 6473852.060000002 1876351.8799999952 0, 6473899.469999999 1876363.5699999928 0, 6473962.890000001 1876378.3400000036 0, 6473988.760000005 1876261.4200000018 0))"
2,001023005000,001-023-005-000,0.14,11,002014,0,,6369.0656,353.739345264,"POLYGON Z ((6474130.379999995 1876100.3400000036 0, 6474082.5 1876088.1700000018 0, 6474052.769999996 1876211.4099999964 0, 6474102.609999999 1876223.5199999958 0, 6474130.379999995 1876100.3400000036 0))"
3,001024014000,001-024-014-000,0.17,11,002014,0,0010241400 CONVERTED    12/01/87,7581.1816,399.794322571,"POLYGON Z ((6474316.109999999 1875932.8599999994 0, 6474267.590000004 1875920.9899999946 0, 6474233.230000004 1876066.4300000072 0, 6474283.75 1876077.8900000006 0, 6474316.109999999 1875932.8599999994 0))"
4,001024015000,001-024-015-000,0.17,2122,002014,0,0010241500 CONVERTED    12/01/87,7432.148,401.366985352,"POLYGON Z ((6474349.189999998 1875784.5900000036 0, 6474302.409999996 1875773.599999994 0, 6474267.590000004 1875920.9899999946 0, 6474316.109999999 1875932.8599999994 0, 6474349.189999998 1875784.5900000036 0))"
5,001024016000,001-024-016-000,0.22,2122,002014,0,0010241600 CONVERTED    12/01/87,9418.0658,428.159093485,"POLYGON Z ((6474409.219999999 1875798.7099999934 0, 6474349.189999998 1875784.5900000036 0, 6474316.109999999 1875932.8599999994 0, 6474376.459999993 1875947.599999994 0, 6474409.219999999 1875798.7099999934 0))"
6,001026016000,001-026-016-000,0.12,212,002014,0,,5024.5586,302.31620977,"POLYGON Z ((6474691.590000004 1875860.9399999976 0, 6474643.040000007 1875849.8700000048 0, 6474622.689999998 1875949.5600000024 0, 6474670.400000006 1875960.5300000012 0, 6474691.590000004 1875860.9399999976 0))"
7,001032008000,001-032-008-000,0.17,11,002014,0,0010320800 CONVERTED    12/01/87,7667.07765,404.794928822,"POLYGON Z ((6475183.219999999 1875971.2300000042 0, 6475134.5 1875959.9800000042 0, 6475111.25 1876059.2900000066 0, 6475099.819999993 1876108.099999994 0, 6475149.530000001 1876119.1800000072 0, 6475183.219999999 1875971.2300000042 0))"
8,001032010000,001-032-010-000,0.12,11,002014,0,0010321000 CONVERTED    12/01/87,5232.0816,307.022756385,"POLYGON Z ((6475085.629999995 1875948.700000003 0, 6475036.359999999 1875937.3199999928 0, 6475011.640000001 1876036.4899999946 0, 6475061.810000002 1876048.549999997 0, 6475085.629999995 1875948.700000003 0))"
9,001041002000,001-041-002-000,0.16,11,002014,0,,7152.5519,358.126182816,"POLYGON Z ((6476483.230000004 1876825.900000006 0, 6476424.310000002 1876812.2300000042 0, 6476397.810000002 1876928.5799999982 0, 6476456.269999996 1876941.2800000012 0, 6476483.230000004 1876825.900000006 0))"
10,001041004000,001-041-004-000,0.2,11,002014,0,,8494.2822,396.473944228,"POLYGON Z ((6476570.989999995 1876781.0699999928 0, 6476438.079999998 1876751.7699999958 0, 6476424.310000002 1876812.2300000042 0, 6476483.230000004 1876825.900000006 0, 6476557.109999999 1876841.8100000024 0, 6476570.989999995 1876781.0699999928 0))"
11,001042021000,001-042-021-000,0.2,11,002014,0,0010422100 CONVERTED    12/01/87,9269.5765,422.731890515,"POLYGON Z ((6476829.790000007 1876590.049999997 0, 6476831.269999996 1876583.4699999988 0, 6476685.540000007 1876552.5199999958 0, 6476671.609999999 1876612.200000003 0, 6476817.519999996 1876644.8900000006 0, 6476829.790000007 1876590.049999997 0))"
12,001042023000,001-042-023-000,0.2,11,002014,0,0010422300 CONVERTED    12/01/87,8704.03905,415.544216147,"POLYGON Z ((6476803 1876709.7300000042 0, 6476805.269999996 1876699.599999994 0, 6476659.5 1876666.1599999964 0, 6476646.760000005 1876722.849999994 0, 6476792.540000007 1876756.4699999988 0, 6476803 1876709.7300000042 0))"
13,001043012000,001-043-012-000,0.18,11,002014,0,0010431200 CONVERTED    12/01/87,7776.78415,382.09871519,"POLYGON Z ((6477332.540000007 1876534.1299999952 0, 6477203.579999998 1876505.25 0, 6477190.920000002 1876561.5300000012 0, 6477197.090000004 1876563.0600000024 0, 6477319.609999999 1876592.5900000036 0, 6477332.540000007 1876534.1299999952 0))"
14,001043013000,001-043-013-000,0.18,11,002014,0,0010431300 CONVERTED    12/01/87,7727.00195,381.511016387,"POLYGON Z ((6477345.730000004 1876477.6599999964 0, 6477216.480000004 1876447.9399999976 0, 6477203.579999998 1876505.25 0, 6477332.540000007 1876534.1299999952 0, 6477345.730000004 1876477.6599999964 0))"
15,001043015000,001-043-015-000,0.17,11,002014,0,,7483.7999,377.133341076,"POLYGON Z ((6477203.579999998 1876505.25 0, 6477074.959999993 1876476.5600000024 0, 6477062.719999999 1876531.1099999994 0, 6477190.920000002 1876561.5300000012 0, 6477203.579999998 1876505.25 0))"
16,001051009000,001-051-009-000,0.18,11,002014,0,0010510900 CONVERTED    12/01/87,8041.88905,392.05900131,"POLYGON Z ((6477630.859999999 1876717.7399999946 0, 6477496.980000004 1876686.2399999946 0, 6477484.090000004 1876743.200000003 0, 6477618.010000005 1876774.8299999982 0, 6477630.859999999 1876717.7399999946 0))"
17,001061002000,001-061-002-000,0.17,212,002014,0,,7569.99825,403.190787933,"POLYGON Z ((6473960.560000002 1875481.5100000054 0, 6473911.689999998 1875470.4699999988 0, 6473878.310000002 1875618.8599999994 0, 6473926.980000004 1875629.0100000054 0, 6473960.560000002 1875481.5100000054 0))"
18,001062012000,001-062-012-000,0.15,11,002014,0,0010621200 CONVERTED    12/01/87,6525.0416,376.055841422,"POLYGON Z ((6474037.909999996 1875114.1200000048 0, 6473994.010000005 1875104.400000006 0, 6473962.840000004 1875243.0699999928 0, 6474008.609999999 1875253.1599999964 0, 6474037.909999996 1875114.1200000048 0))"
